"","ticker","transaction","cost_share","number_shares","total_value","datetime","date","time"
"58","ACMR","Proposed Sale",33.2,"100,000","3,320,010","Dec 02 04:21 PM","2025-12-02",16:21:00
"59","CHWY","Proposed Sale",33.73,"639","21,556","Dec 02 04:20 PM","2025-12-02",16:20:00
"60","V","Sale",330.14,"23,743","7,838,626","Dec 02 04:20 PM","2025-12-02",16:20:00
"61","PEBK","Proposed Sale",31.85,"300","9,554","Dec 02 04:20 PM","2025-12-02",16:20:00
"62","OSCR","Proposed Sale",16.73,"28,737","480,770","Dec 02 04:20 PM","2025-12-02",16:20:00
"63","APLD","Sale",26.98,"8,000","215,840","Dec 02 04:20 PM","2025-12-02",16:20:00
"64","SPT","Proposed Sale",10.21,"3,550","36,240","Dec 02 04:20 PM","2025-12-02",16:20:00
"65","BBNX","Sale",29.55,"1,406","41,543","Dec 02 04:20 PM","2025-12-02",16:20:00
"66","BBNX","Sale",29.55,"1,406","41,552","Dec 02 04:20 PM","2025-12-02",16:20:00
"67","DAY","Sale",69.05,"2,000","138,100","Dec 02 04:19 PM","2025-12-02",16:19:00
"68","OSCR","Proposed Sale",16.73,"8,398","140,499","Dec 02 04:18 PM","2025-12-02",16:18:00
"69","NRDS","Proposed Sale",16.04,"15,945","255,750","Dec 02 04:18 PM","2025-12-02",16:18:00
"70","PLUG","Proposed Sale",2.15,"50,000","107,500","Dec 02 04:17 PM","2025-12-02",16:17:00
"71","NXT","Sale",89.33,"4,500","401,985","Dec 02 04:17 PM","2025-12-02",16:17:00
"72","OSCR","Proposed Sale",16.73,"2,123","35,518","Dec 02 04:17 PM","2025-12-02",16:17:00
"73","FLS","Proposed Sale",70.48,"212,683","14,989,472","Dec 02 04:16 PM","2025-12-02",16:16:00
"74","AMBA","Proposed Sale",71.59,"150,000","10,738,845","Dec 02 04:16 PM","2025-12-02",16:16:00
"75","LMND","Proposed Sale",72.73,"198","14,401","Dec 02 04:16 PM","2025-12-02",16:16:00
"76","ISRG","Sale",568.99,"125","71,124","Dec 02 04:16 PM","2025-12-02",16:16:00
"77","MCO","Sale",486.09,"592","287,765","Dec 02 04:15 PM","2025-12-02",16:15:00
"78","PGNY","Sale",26.87,"2,398","64,434","Dec 02 04:15 PM","2025-12-02",16:15:00
"79","STT","Sale",118.55,"5,676","672,890","Dec 02 04:15 PM","2025-12-02",16:15:00
"80","TDOC","Proposed Sale",7.49,"4,582","34,311","Dec 02 04:15 PM","2025-12-02",16:15:00
"81","MNTN","Proposed Sale",13.39,"168,257","2,253,702","Dec 02 04:15 PM","2025-12-02",16:15:00
"82","TEAM","Sale",152.04,"7,665","1,165,399","Dec 02 04:15 PM","2025-12-02",16:15:00
"83","OSCR","Proposed Sale",16.73,"22,195","371,322","Dec 02 04:15 PM","2025-12-02",16:15:00
"84","PAHC","Sale",42.54,"3,520","149,740","Dec 02 04:15 PM","2025-12-02",16:15:00
"85","PAHC","Sale",41.66,"3,520","146,636","Dec 02 04:15 PM","2025-12-02",16:15:00
"86","CB","Proposed Sale",295.04,"4,357","1,285,497","Dec 02 04:15 PM","2025-12-02",16:15:00
"87","TEAM","Sale",152.04,"7,665","1,165,399","Dec 02 04:15 PM","2025-12-02",16:15:00
"88","BRKR","Sale",48.38,"5,028","243,230","Dec 02 04:15 PM","2025-12-02",16:15:00
"89","FGL","Proposed Sale",0.38,"300,000","114,000","Dec 02 04:15 PM","2025-12-02",16:15:00
"90","TDOC","Proposed Sale",7.49,"2,324","17,403","Dec 02 04:14 PM","2025-12-02",16:14:00
"91","CLS","Sale",323.38,"3,160","1,021,881","Dec 02 04:14 PM","2025-12-02",16:14:00
"92","LOCL","Proposed Sale",2.53,"1,011","2,556","Dec 02 04:14 PM","2025-12-02",16:14:00
"93","RL","Proposed Sale",366,"1,882","688,812","Dec 02 04:14 PM","2025-12-02",16:14:00
"94","CLS","Sale",323.38,"9,187","2,970,892","Dec 02 04:14 PM","2025-12-02",16:14:00
"95","SLP","Sale",16.91,"866","14,644","Dec 02 04:14 PM","2025-12-02",16:14:00
"96","SBLK","Proposed Sale",19.86,"50,625","1,005,412","Dec 02 04:13 PM","2025-12-02",16:13:00
"97","GNRC","Sale",148.27,"5,000","741,350","Dec 02 04:13 PM","2025-12-02",16:13:00
"98","APH","Proposed Sale",141.84,"132,000","18,722,840","Dec 02 04:12 PM","2025-12-02",16:12:00
"99","IESC","Proposed Sale",413.9,"5,000","2,069,500","Dec 02 04:12 PM","2025-12-02",16:12:00
"100","REPL","Proposed Sale",11.13,"10,000","111,303","Dec 02 04:11 PM","2025-12-02",16:11:00
"101","APH","Proposed Sale",142,"80,000","11,360,232","Dec 02 04:11 PM","2025-12-02",16:11:00
"102","H","Sale",163.36,"1,600","261,376","Dec 02 04:10 PM","2025-12-02",16:10:00
"103","COHR","Proposed Sale",170,"2,000","340,000","Dec 02 04:09 PM","2025-12-02",16:09:00
"104","RKT","Sale",19.89,"2,500","49,722","Dec 02 04:09 PM","2025-12-02",16:09:00
"105","RKT","Sale",19.81,"2,500","49,534","Dec 02 04:09 PM","2025-12-02",16:09:00
"106","VCEL","Proposed Sale",37.97,"2,500","94,919","Dec 02 04:08 PM","2025-12-02",16:08:00
"107","ADI","Sale",265.84,"5,914","1,572,134","Dec 02 04:08 PM","2025-12-02",16:08:00
"108","BKNG","Proposed Sale",5000,"40","200,000","Dec 02 04:08 PM","2025-12-02",16:08:00
"109","RIVN","Proposed Sale",17.14,"21,210","363,469","Dec 02 04:07 PM","2025-12-02",16:07:00
"110","ACVA","Sale",8,"1,750","14,000","Dec 02 04:06 PM","2025-12-02",16:06:00
"111","QTTB","Proposed Sale",3.46,"9,072","31,395","Dec 02 04:05 PM","2025-12-02",16:05:00
"112","WDC","Proposed Sale",160.57,"2,801","449,752","Dec 02 04:05 PM","2025-12-02",16:05:00
"113","MMC","Sale",182.22,"21,079","3,841,015","Dec 02 04:05 PM","2025-12-02",16:05:00
"114","PCOR","Proposed Sale",75.3,"10,000","753,000","Dec 02 04:05 PM","2025-12-02",16:05:00
"115","QCOM","Proposed Sale",170,"203","34,510","Dec 02 04:05 PM","2025-12-02",16:05:00
"116","IRMD","Sale",92.76,"5,000","463,794","Dec 02 04:05 PM","2025-12-02",16:05:00
"117","META","Proposed Sale",642.22,"519","333,312","Dec 02 04:05 PM","2025-12-02",16:05:00
"118","EBC","Sale",19.05,"4,500","85,725","Dec 02 04:05 PM","2025-12-02",16:05:00
"119","INCY","Proposed Sale",102.51,"20,105","2,060,978","Dec 02 04:04 PM","2025-12-02",16:04:00
"120","DRS","Sale",33.74,"5,294","178,620","Dec 02 04:04 PM","2025-12-02",16:04:00
