"ticker","transaction","cost_share","number_shares","total_value","date","time"
"SBLK","Proposed Sale",19.86,"50,625","1,005,412","2025-12-02","04:13 PM"
"GNRC","Sale",148.27,"5,000","741,350","2025-12-02","04:13 PM"
"APH","Proposed Sale",141.84,"132,000","18,722,840","2025-12-02","04:12 PM"
"IESC","Proposed Sale",413.9,"5,000","2,069,500","2025-12-02","04:12 PM"
"REPL","Proposed Sale",11.13,"10,000","111,303","2025-12-02","04:11 PM"
"APH","Proposed Sale",142,"80,000","11,360,232","2025-12-02","04:11 PM"
"H","Sale",163.36,"1,600","261,376","2025-12-02","04:10 PM"
"COHR","Proposed Sale",170,"2,000","340,000","2025-12-02","04:09 PM"
"RKT","Sale",19.89,"2,500","49,722","2025-12-02","04:09 PM"
"RKT","Sale",19.81,"2,500","49,534","2025-12-02","04:09 PM"
"VCEL","Proposed Sale",37.97,"2,500","94,919","2025-12-02","04:08 PM"
"ADI","Sale",265.84,"5,914","1,572,134","2025-12-02","04:08 PM"
"BKNG","Proposed Sale",5000,"40","200,000","2025-12-02","04:08 PM"
"RIVN","Proposed Sale",17.14,"21,210","363,469","2025-12-02","04:07 PM"
"ACVA","Sale",8,"1,750","14,000","2025-12-02","04:06 PM"
"QTTB","Proposed Sale",3.46,"9,072","31,395","2025-12-02","04:05 PM"
"WDC","Proposed Sale",160.57,"2,801","449,752","2025-12-02","04:05 PM"
"MMC","Sale",182.22,"21,079","3,841,015","2025-12-02","04:05 PM"
"PCOR","Proposed Sale",75.3,"10,000","753,000","2025-12-02","04:05 PM"
"QCOM","Proposed Sale",170,"203","34,510","2025-12-02","04:05 PM"
"IRMD","Sale",92.76,"5,000","463,794","2025-12-02","04:05 PM"
"META","Proposed Sale",642.22,"519","333,312","2025-12-02","04:05 PM"
"EBC","Sale",19.05,"4,500","85,725","2025-12-02","04:05 PM"
"INCY","Proposed Sale",102.51,"20,105","2,060,978","2025-12-02","04:04 PM"
"DRS","Sale",33.74,"5,294","178,620","2025-12-02","04:04 PM"
"MIRM","Sale",74,"50,000","3,700,000","2025-12-02","04:04 PM"
"MTG","Sale",28.4,"30,000","852,030","2025-12-02","04:04 PM"
"DDOG","Proposed Sale",160,"6,766","1,082,560","2025-12-02","04:04 PM"
"VIAV","Proposed Sale",17.81,"9,871","175,767","2025-12-02","04:03 PM"
"DRS","Sale",33.74,"3,840","129,562","2025-12-02","04:03 PM"
"DDOG","Proposed Sale",160,"10,609","1,697,440","2025-12-02","04:03 PM"
"VIAV","Proposed Sale",17.76,"58,939","1,047,010","2025-12-02","04:03 PM"
"DDOG","Proposed Sale",160,"5,057","809,120","2025-12-02","04:03 PM"
"FROG","Proposed Sale",60.09,"1,368","82,203","2025-12-02","04:03 PM"
