"ticker","transaction","cost_share","number_shares","total_value","datetime","date","time"
"RMD","Sale",244.16,1000,244160,"Dec 02 04:23 PM",2025-12-02,16:23:00
"WLFC","Proposed Sale",118.35,6533,773181,"Dec 02 04:22 PM",2025-12-02,16:22:00
"STX","Proposed Sale",270.1,750,202575,"Dec 02 04:22 PM",2025-12-02,16:22:00
"COIN","Sale",273.28,1375,375756,"Dec 02 04:22 PM",2025-12-02,16:22:00
"SERA","Proposed Sale",3.21,2000,6420,"Dec 02 04:22 PM",2025-12-02,16:22:00
"TDOC","Proposed Sale",7.49,3897,29182,"Dec 02 04:22 PM",2025-12-02,16:22:00
"INDI","Proposed Sale",3.48,47597,165638,"Dec 02 04:22 PM",2025-12-02,16:22:00
"KLIC","Proposed Sale",45,1000,45000,"Dec 02 04:22 PM",2025-12-02,16:22:00
"ACMR","Proposed Sale",33.2,1e+05,3320010,"Dec 02 04:21 PM",2025-12-02,16:21:00
"CHWY","Proposed Sale",33.73,639,21556,"Dec 02 04:20 PM",2025-12-02,16:20:00
"V","Sale",330.14,23743,7838626,"Dec 02 04:20 PM",2025-12-02,16:20:00
"PEBK","Proposed Sale",31.85,300,9554,"Dec 02 04:20 PM",2025-12-02,16:20:00
"OSCR","Proposed Sale",16.73,28737,480770,"Dec 02 04:20 PM",2025-12-02,16:20:00
"APLD","Sale",26.98,8000,215840,"Dec 02 04:20 PM",2025-12-02,16:20:00
"SPT","Proposed Sale",10.21,3550,36240,"Dec 02 04:20 PM",2025-12-02,16:20:00
"BBNX","Sale",29.55,1406,41543,"Dec 02 04:20 PM",2025-12-02,16:20:00
"BBNX","Sale",29.55,1406,41552,"Dec 02 04:20 PM",2025-12-02,16:20:00
"DAY","Sale",69.05,2000,138100,"Dec 02 04:19 PM",2025-12-02,16:19:00
"OSCR","Proposed Sale",16.73,8398,140499,"Dec 02 04:18 PM",2025-12-02,16:18:00
"NRDS","Proposed Sale",16.04,15945,255750,"Dec 02 04:18 PM",2025-12-02,16:18:00
"PLUG","Proposed Sale",2.15,50000,107500,"Dec 02 04:17 PM",2025-12-02,16:17:00
"NXT","Sale",89.33,4500,401985,"Dec 02 04:17 PM",2025-12-02,16:17:00
"OSCR","Proposed Sale",16.73,2123,35518,"Dec 02 04:17 PM",2025-12-02,16:17:00
"FLS","Proposed Sale",70.48,212683,14989472,"Dec 02 04:16 PM",2025-12-02,16:16:00
"AMBA","Proposed Sale",71.59,150000,10738845,"Dec 02 04:16 PM",2025-12-02,16:16:00
"LMND","Proposed Sale",72.73,198,14401,"Dec 02 04:16 PM",2025-12-02,16:16:00
"ISRG","Sale",568.99,125,71124,"Dec 02 04:16 PM",2025-12-02,16:16:00
"MCO","Sale",486.09,592,287765,"Dec 02 04:15 PM",2025-12-02,16:15:00
"PGNY","Sale",26.87,2398,64434,"Dec 02 04:15 PM",2025-12-02,16:15:00
"STT","Sale",118.55,5676,672890,"Dec 02 04:15 PM",2025-12-02,16:15:00
"TDOC","Proposed Sale",7.49,4582,34311,"Dec 02 04:15 PM",2025-12-02,16:15:00
"MNTN","Proposed Sale",13.39,168257,2253702,"Dec 02 04:15 PM",2025-12-02,16:15:00
"TEAM","Sale",152.04,7665,1165399,"Dec 02 04:15 PM",2025-12-02,16:15:00
"OSCR","Proposed Sale",16.73,22195,371322,"Dec 02 04:15 PM",2025-12-02,16:15:00
"PAHC","Sale",42.54,3520,149740,"Dec 02 04:15 PM",2025-12-02,16:15:00
"PAHC","Sale",41.66,3520,146636,"Dec 02 04:15 PM",2025-12-02,16:15:00
"CB","Proposed Sale",295.04,4357,1285497,"Dec 02 04:15 PM",2025-12-02,16:15:00
"TEAM","Sale",152.04,7665,1165399,"Dec 02 04:15 PM",2025-12-02,16:15:00
"BRKR","Sale",48.38,5028,243230,"Dec 02 04:15 PM",2025-12-02,16:15:00
"FGL","Proposed Sale",0.38,3e+05,114000,"Dec 02 04:15 PM",2025-12-02,16:15:00
