"ticker","transaction","cost_share","number_shares","total_value","datetime","date","time"
"CDNS","Proposed Sale",312.64,"1,000","312,640","Dec 01 04:04 PM","2025-12-01","16:04:00"
"NET","Proposed Sale",197.65,"134","26,485","Dec 01 04:03 PM","2025-12-01","16:03:00"
"EPR","Proposed Sale",51.95,"7,500","389,625","Dec 01 04:03 PM","2025-12-01","16:03:00"
"MAX","Proposed Sale",12.61,"36,300","457,576","Dec 01 04:03 PM","2025-12-01","16:03:00"
"FFIV","Proposed Sale",236.99,"1,300","308,087","Dec 01 04:03 PM","2025-12-01","16:03:00"
"FFIV","Proposed Sale",236.99,"1,110","263,059","Dec 01 04:03 PM","2025-12-01","16:03:00"
"NDAQ","Proposed Sale",90.57,"2,105","190,650","Dec 01 04:03 PM","2025-12-01","16:03:00"
"BSX","Proposed Sale",101.55,"17,313","1,758,188","Dec 01 04:02 PM","2025-12-01","16:02:00"
"GOOG","Proposed Sale",317.66,"102","32,401","Dec 01 04:02 PM","2025-12-01","16:02:00"
"GOOGL","Proposed Sale",317.66,"102","32,401","Dec 01 04:02 PM","2025-12-01","16:02:00"
"TEVA","Sale",26.03,"50,000","1,301,505","Dec 01 04:02 PM","2025-12-01","16:02:00"
"CASH","Sale",69.34,"2,500","173,350","Dec 01 04:02 PM","2025-12-01","16:02:00"
"GWRE","Proposed Sale",213.44,"3,000","640,320","Dec 01 04:02 PM","2025-12-01","16:02:00"
"YELP","Proposed Sale",28.62,"1,200","34,344","Dec 01 04:02 PM","2025-12-01","16:02:00"
"AKAM","Proposed Sale",89.25,"10,438","931,604","Dec 01 04:01 PM","2025-12-01","16:01:00"
"PCTY","Sale",147.23,"987","145,316","Dec 01 04:01 PM","2025-12-01","16:01:00"
"FANG","Sale",149.24,"4,000","596,948","Dec 01 04:01 PM","2025-12-01","16:01:00"
"SAIA","Proposed Sale",277.43,"422","117,075","Dec 01 04:01 PM","2025-12-01","16:01:00"
"SHOO","Proposed Sale",42.61,"15,000","639,150","Dec 01 04:00 PM","2025-12-01","16:00:00"
"GMED","Proposed Sale",89.95,"18,542","1,667,847","Dec 01 03:59 PM","2025-12-01","15:59:00"
"WOOF","Proposed Sale",3.08,"74,192","228,399","Dec 01 03:46 PM","2025-12-01","15:46:00"
"EL","Sale",94.38,"17,840","1,683,739","Dec 01 03:44 PM","2025-12-01","15:44:00"
"EL","Sale",94.45,"1,604","151,498","Dec 01 03:44 PM","2025-12-01","15:44:00"
"SITM","Proposed Sale",291.25,"4,000","1,165,000","Dec 01 03:39 PM","2025-12-01","15:39:00"
"RBLX","Proposed Sale",92.54,"66,000","6,107,825","Dec 01 03:33 PM","2025-12-01","15:33:00"
"EMR","Proposed Sale",134.09,"4,773","640,000","Dec 01 03:31 PM","2025-12-01","15:31:00"
"MHK","Proposed Sale",116.67,"500","58,335","Dec 01 03:30 PM","2025-12-01","15:30:00"
"OKLO","Proposed Sale",88.42,"5,864","518,518","Dec 01 03:20 PM","2025-12-01","15:20:00"
"SITM","Proposed Sale",291,"2,000","582,000","Dec 01 03:13 PM","2025-12-01","15:13:00"
"SITM","Proposed Sale",291.53,"1,500","437,300","Dec 01 03:05 PM","2025-12-01","15:05:00"
"MMD","Sale",14.92,"1","11","Dec 01 03:03 PM","2025-12-01","15:03:00"
"DLR","Proposed Sale",157.41,"4,166","655,760","Dec 01 02:52 PM","2025-12-01","14:52:00"
"UFPI","Sale",93.43,"1,192","111,369","Dec 01 02:43 PM","2025-12-01","14:43:00"
"FIX","Proposed Sale",958.87,"4,370","4,190,262","Dec 01 02:39 PM","2025-12-01","14:39:00"
"VLTO","Proposed Sale",101.73,"1,000","101,735","Dec 01 02:39 PM","2025-12-01","14:39:00"
"CORT","Proposed Sale",79.4,"40,000","3,176,000","Dec 01 02:36 PM","2025-12-01","14:36:00"
"ASND","Proposed Sale",209.54,"218","45,680","Dec 01 02:30 PM","2025-12-01","14:30:00"
"ROP","Proposed Sale",445.56,"6,000","2,673,390","Dec 01 02:21 PM","2025-12-01","14:21:00"
"DGICA","Proposed Sale",20.2,"12,000","242,400","Dec 01 02:05 PM","2025-12-01","14:05:00"
"FN","Proposed Sale",453.75,"3,500","1,588,115","Dec 01 02:04 PM","2025-12-01","14:04:00"
"CORT","Proposed Sale",79.4,"20,000","1,588,000","Dec 01 02:00 PM","2025-12-01","14:00:00"
"IR","Proposed Sale",80.63,"1,477","119,086","Dec 01 01:59 PM","2025-12-01","13:59:00"
"VIAV","Sale",18.14,"1,657","30,058","Dec 01 01:58 PM","2025-12-01","13:58:00"
"CORT","Proposed Sale",79.4,"5,000","397,000","Dec 01 01:50 PM","2025-12-01","13:50:00"
"NVTS","Sale",8.54,"1,493,046","12,758,078","Dec 01 01:50 PM","2025-12-01","13:50:00"
"CNA","Sale",46.92,"6,250","293,250","Dec 01 01:34 PM","2025-12-01","13:34:00"
"YUM","Sale",153.17,"276","42,275","Dec 01 01:31 PM","2025-12-01","13:31:00"
"TSN","Sale",58.05,"100,301","5,822,473","Dec 01 01:25 PM","2025-12-01","13:25:00"
"TTMI","Proposed Sale",67.3,"2,000","134,593","Dec 01 01:22 PM","2025-12-01","13:22:00"
"DGICA","Proposed Sale",20.39,"9,000","183,510","Dec 01 01:13 PM","2025-12-01","13:13:00"
"OMCL","Proposed Sale",35.97,"28,250","1,016,092","Dec 01 01:12 PM","2025-12-01","13:12:00"
"FIBK","Sale",32.75,"10,000","327,500","Dec 01 12:58 PM","2025-12-01","12:58:00"
"BOOT","Proposed Sale",191.41,"1,200","229,692","Dec 01 12:55 PM","2025-12-01","12:55:00"
"BCRX","Proposed Sale",7.08,"91,004","644,308","Dec 01 12:51 PM","2025-12-01","12:51:00"
"CRS","Sale",321.25,"3,900","1,252,860","Dec 01 12:45 PM","2025-12-01","12:45:00"
"IRM","Proposed Sale",84.5,"69,125","5,841,062","Dec 01 12:33 PM","2025-12-01","12:33:00"
"IESC","Proposed Sale",406.25,"10,000","4,062,457","Dec 01 12:33 PM","2025-12-01","12:33:00"
"ATEC","Proposed Sale",198.7,"32,584","6,474,444","Dec 01 12:26 PM","2025-12-01","12:26:00"
"JLL","Sale",331.21,"5,000","1,656,059","Dec 01 12:26 PM","2025-12-01","12:26:00"
"JLL","Sale",330.01,"240","79,204","Dec 01 12:26 PM","2025-12-01","12:26:00"
"ADI","Proposed Sale",265.83,"5,914","1,572,134","Dec 01 12:25 PM","2025-12-01","12:25:00"
"LPLA","Proposed Sale",352.48,"80","28,198","Dec 01 12:21 PM","2025-12-01","12:21:00"
"RSI","Proposed Sale",18.18,"70,000","1,272,778","Dec 01 12:20 PM","2025-12-01","12:20:00"
"CBLL","Proposed Sale",16.87,"25,000","421,750","Dec 01 12:20 PM","2025-12-01","12:20:00"
"BXP","Proposed Sale",72.14,"36,314","2,619,873","Dec 01 12:14 PM","2025-12-01","12:14:00"
"KEYS","Proposed Sale",19.71,"4,827","95,119","Dec 01 12:12 PM","2025-12-01","12:12:00"
